Brand,Ratings,Speaker,Size,HD,HDMI,USB,Cost
philips,4.2,20,50,Ultra HD 4K,3,2,36999
lg,4.4,20,43,Ultra HD 4K,3,2,39999
tcl,4.3,10,32,HD,2,2,16659
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
iffalcon,4.2,16,32,HD,2,1,11999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
motorola,4.3,20,43,Full HD,2,2,25999
tcl,4.0,30,50,Ultra HD 4K,3,2,38999
vu,4.3,24,43,Ultra HD 4K,3,2,34999
vu,4.5,30,65,Ultra HD 4K,3,2,59999
samsung,4.4,20,32,HD,2,1,16999
samsung,4.5,20,65,Ultra HD 4K,3,2,87999
motorola,4.4,50,55,Ultra HD 4K,3,2,44999
haier,4.4,20,40,Full HD,3,2,25990
samsung,4.5,40,55,Ultra HD 4K,4,2,76999
sony,4.3,20,32,HD,2,2,25499
samsung,4.2,20,43,Ultra HD 4K,3,2,43190
kodak,4.4,24,55,Ultra HD 4K,3,2,33999
samsung,4.4,20,32,HD,2,1,17499
lg,4.3,20,32,HD,2,1,17390
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
motorola,4.3,30,50,Ultra HD 4K,3,2,32999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
hisense,4.2,24,40,Full HD,2,2,19499
thomson,4.5,30,65,Ultra HD 4K,3,2,54999
sony,4.1,10,49,Full HD,4,3,52999
lg,4.4,20,43,Full HD,2,1,32500
hisense,4.2,20,32,HD,2,2,14999
samsung,4.4,20,32,HD,2,1,16999
sansui,4.3,20,50,Ultra HD 4K,3,2,36999
sony,4.5,10,50,Full HD,2,2,42999
samsung,4.5,40,55,Ultra HD 4K,4,2,76999
samsung,4.4,20,43,Full HD,2,1,37499
kodak,4.5,30,65,Ultra HD 4K,3,2,54999
tcl,4.4,30,55,Ultra HD 4K,3,2,56999
tcl,4.2,24,55,Ultra HD 4K,3,1,40990
sony,4.4,10,32,HD,2,1,17999
samsung,4.4,20,32,HD,2,1,17499
micromax,4.1,30,55,Ultra HD 4K,3,2,33999
samsung,4.5,40,49,Full HD,2,1,37999
samsung,4.6,20,32,HD,2,1,19835
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
lg,4.3,20,32,HD,2,1,16599
panasonic,4.1,20,43,Full HD,3,2,50666
panasonic,4.4,20,43,Ultra HD 4K,3,2,35999
lg,4.3,20,43,Full HD,2,1,25999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
haier,4.3,20,43,Full HD,3,2,28890
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
lg,4.5,20,49,Ultra HD 4K,3,2,45136
haier,4.3,20,50,Ultra HD 4K,4,2,43999
samsung,4.3,10,32,HD,2,1,14999
samsung,4.5,40,55,Ultra HD 4K,4,2,76999
samsung,4.4,40,43,Full HD,2,1,32999
samsung,4.4,20,32,HD,2,1,17499
vu,4.2,24,43,Full HD,2,2,25490
lg,4.2,20,43,Full HD,3,2,34999
samsung,3.9,20,43,Full HD,3,1,31990
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
lg,4.4,35,32,HD,3,1,23800
samsung,4.3,20,50,Ultra HD 4K,2,1,63900
iffalcon,4.4,20,65,Ultra HD 4K,3,2,57999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
tcl,4.3,20,43,Full HD,2,1,25890
sony,4.4,20,65,Ultra HD 4K,4,2,107999
onida,4.1,16,43,Full HD,3,2,28999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
sony,4.7,10,40,Full HD,2,2,35299
samsung,4.4,20,32,HD,2,1,16999
sony,4.5,20,49,Ultra HD 4K,4,2,75490
samsung,4.4,20,32,HD,2,1,17499
samsung,3.9,20,50,Ultra HD 4K,3,2,74990
samsung,4.0,40,32,HD,2,1,26900
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sony,4.4,8,32,Full HD,2,2,28606
philips,5.0,20,65,Ultra HD 4K,2,1,78999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
sony,4.8,10,55,Ultra HD 4K,4,3,99990
samsung,4.5,40,43,Full HD,2,1,38990
motorola,4.3,20,43,Ultra HD 4K,3,2,29999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
samsung,4.3,10,32,HD,2,1,22499
micromax,4.4,16,49,Full HD,3,2,65990
panasonic,4.3,20,32,HD,2,2,16999
lg,4.5,20,32,HD,3,2,22990
samsung,4.4,20,32,HD,2,1,16999
vu,4.4,30,55,Ultra HD 4K,3,2,48390
samsung,4.8,20,55,Ultra HD 4K,3,2,89990
samsung,4.4,20,32,HD,2,1,17499
lg,4.6,40,55,Ultra HD 4K,4,3,79999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sony,4.5,20,50,Full HD,2,2,55799
iffalcon,4.3,16,55,Ultra HD 4K,4,2,36999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
samsung,4.3,40,43,Full HD,2,1,39999
samsung,4.6,40,55,Ultra HD 4K,4,3,84999
sony,4.5,20,49,Ultra HD 4K,3,3,60999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
samsung,4.4,20,32,HD,2,1,16999
sony,4.6,20,49,Ultra HD 4K,3,2,64990
samsung,4.4,20,32,HD,2,1,17499
samsung,4.6,20,49,Ultra HD 4K,3,2,64499
sansui,4.3,20,55,Ultra HD 4K,3,2,42999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sansui,4.3,20,55,Ultra HD 4K,3,3,119990
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
cloudwalker,4.1,16,50,Full HD,2,2,42989
micromax,4.3,24,32,HD,2,2,19105
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
tcl,4.4,30,65,Ultra HD 4K,3,2,88499
lg,4.7,20,65,Ultra HD 4K,3,2,96999
samsung,4.4,20,32,HD,2,1,17499
samsung,4.6,20,65,Ultra HD 4K,2,1,85999
lg,4.4,20,49,Full HD,2,1,68990
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sansui,3.7,20,55,Ultra HD 4K,3,2,69200
micromax,4.3,20,32,HD,1,2,12399
panasonic,4.4,20,49,Ultra HD 4K,3,2,46999
samsung,3.9,20,50,Ultra HD 4K,3,2,64990
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
mi,4.4,20,65,Ultra HD 4K,3,3,71999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
panasonic,4.3,16,32,Full HD,3,2,22541
samsung,4.5,40,55,Ultra HD 4K,4,2,105999
samsung,4.4,20,32,HD,2,1,16999
kodak,4.4,24,50,Ultra HD 4K,3,2,31999
samsung,4.1,10,32,HD,2,1,26999
samsung,4.4,20,32,HD,2,1,17499
micromax,4.3,20,50,Full HD,2,2,66990
vu,4.4,40,43,Ultra HD 4K,3,2,32999
samsung,4.4,40,49,Ultra HD 4K,4,2,129900
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
samsung,4.7,20,49,Full HD,3,2,86900
panasonic,4.4,35,49,Full HD,2,1,51999
sony,4.7,60,65,Ultra HD 4K,4,3,149999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
lg,4.3,20,55,Ultra HD 4K,2,1,64999
panasonic,4.3,35,43,Full HD,2,1,50900
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
iffalcon,4.4,16,65,Ultra HD 4K,4,2,59999
lg,4.3,20,43,Full HD,1,1,35999
samsung,4.4,20,32,HD,2,1,16999
panasonic,4.0,10,43,Full HD,2,1,48900
cloudwalker,4.0,8,43,Full HD,2,2,21999
blaupunkt,4.0,30,49,Ultra HD 4K,2,2,25999
sony,3.7,20,55,Ultra HD 4K,4,3,109999
samsung,4.4,20,32,HD,2,1,17499
samsung,4.7,20,49,Ultra HD 4K,4,2,93999
panasonic,4.4,10,32,HD,1,1,27399
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
panasonic,4.5,35,43,Full HD,3,2,53999
samsung,3.9,20,43,Ultra HD 4K,3,2,61990
tcl,3.9,16,55,Ultra HD 4K,3,2,47499
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
samsung,3.9,20,43,Full HD,2,2,62900
samsung,4.5,20,55,Ultra HD 4K,3,2,104900
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
haier,4.0,20,32,HD,3,2,18990
thomson,4.4,24,40,Full HD,3,2,19499
sony,3.8,40,55,Ultra HD 4K,4,3,144990
samsung,4.4,20,32,HD,2,1,16999
lg,4.1,20,55,Full HD,3,2,103900
cloudwalker,4.1,16,55,Ultra HD 4K,3,2,36999
samsung,4.4,20,32,HD,2,1,17499
micromax,4.0,16,50,Full HD,2,2,64990
philips,3.8,16,42,Full HD,2,1,42000
sony,4.4,20,43,Full HD,2,2,41799
samsung,4.3,20,32,HD,2,1,19599
tcl,4.3,16,55,Ultra HD 4K,3,2,55499
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
samsung,4.5,20,55,Ultra HD 4K,2,1,60990
sony,4.3,20,55,Ultra HD 4K,4,2,84990
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
samsung,4.8,20,55,Ultra HD 4K,3,2,89990
lg,4.3,20,49,Ultra HD 4K,4,2,78499
samsung,4.4,40,32,HD,2,1,18256
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
samsung,4.1,20,43,Ultra HD 4K,3,2,49990
samsung,4.4,20,32,HD,2,1,16999
samsung,3.7,40,49,Ultra HD 4K,4,3,80999
samsung,4.4,20,32,HD,2,1,17499
samsung,4.6,40,32,HD,2,1,23900
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sony,4.4,20,55,Ultra HD 4K,4,3,107999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
cloudwalker,4.3,20,32,HD,3,2,11999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
cloudwalker,3.9,10,43,Ultra HD 4K,3,2,24999
lg,4.3,20,43,Ultra HD 4K,2,1,79990
lg,4.8,20,55,Ultra HD 4K,4,3,99999
samsung,4.4,20,32,HD,2,1,17499
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
kodak,4.3,20,32,HD,2,2,11499
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
samsung,4.4,20,32,HD,2,1,22999
samsung,4.3,20,55,Ultra HD 4K,4,2,121999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
lg,4.8,20,49,Full HD,3,2,77990
sansui,4.3,20,43,Ultra HD 4K,3,2,28999
samsung,4.4,20,32,HD,2,1,16999
cloudwalker,3.7,8,55,Ultra HD 4K,3,2,84500
samsung,4.4,20,32,HD,2,1,17499
tcl,4.0,16,65,Ultra HD 4K,3,2,79999
sony,4.5,30,49,Full HD,2,2,49900
samsung,4.4,20,43,Ultra HD 4K,3,2,46900
samsung,4.3,20,50,Ultra HD 4K,3,2,125900
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
panasonic,4.1,20,40,Full HD,2,1,39900
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
kodak,4.4,24,40,Full HD,3,2,18999
lg,4.3,40,55,Ultra HD 4K,4,3,149999
panasonic,4.3,20,55,Ultra HD 4K,3,3,65999
thomson,4.4,24,43,Ultra HD 4K,3,2,25999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
cloudwalker,4.1,8,65,Ultra HD 4K,3,2,59999
haier,4.0,20,43,Ultra HD 4K,4,2,34999
samsung,4.5,40,55,Ultra HD 4K,4,2,76999
micromax,4.0,24,40,Full HD,3,2,29990
iffalcon,4.2,30,65,Ultra HD 4K,3,2,84999
tcl,4.3,16,65,Ultra HD 4K,2,1,105594
samsung,4.4,20,32,HD,2,1,17499
thomson,4.1,20,32,HD,3,2,16999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
blaupunkt,4.2,30,32,HD,2,2,6499
blaupunkt,3.9,30,43,Ultra HD 4K,2,2,21999
haier,3.9,16,32,HD,2,2,12990
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
blaupunkt,4.1,10,24,HD,1,1,5999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
lg,4.0,20,43,Full HD,2,1,34999
samsung,4.2,10,24,HD,2,2,10999
lg,4.3,20,43,Full HD,3,2,58900
tcl,4.4,30,50,Ultra HD 4K,3,2,49999
samsung,4.4,20,32,HD,2,1,16999
blaupunkt,3.7,30,50,Ultra HD 4K,2,2,28999
kodak,4.4,24,43,Full HD,3,2,22499
samsung,4.4,20,32,HD,2,1,17499
samsung,4.5,40,43,Full HD,2,1,36999
panasonic,4.2,20,55,Ultra HD 4K,3,2,59999
blaupunkt,4.1,30,43,Full HD,3,2,21999
blaupunkt,4.2,30,40,Full HD,2,2,14499
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
blaupunkt,4.1,30,32,HD,3,2,14999
blaupunkt,4.1,30,43,Full HD,2,2,18499
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
lg,4.1,20,49,Full HD,3,2,77900
tcl,4.1,10,32,HD,3,2,16690
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
panasonic,4.2,20,49,Full HD,2,1,48000
cloudwalker,4.2,20,49,Full HD,3,2,22999
samsung,4.4,20,32,HD,2,1,16999
lg,4.1,20,49,Full HD,2,1,64900
tcl,4.5,16,65,Ultra HD 4K,3,2,68990
blaupunkt,4.1,60,43,Ultra HD 4K,3,2,27999
blaupunkt,4.1,30,32,HD,2,2,9999
samsung,4.4,20,32,HD,2,1,17499
cloudwalker,4.3,20,32,HD,2,2,17989
cloudwalker,4.2,20,32,HD,2,2,17999
blaupunkt,4.1,30,40,Full HD,2,2,15999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
blaupunkt,3.7,30,50,Ultra HD 4K,2,2,28999
vu,4.5,30,65,Ultra HD 4K,4,3,116000
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
blaupunkt,4.1,30,43,Full HD,3,2,21999
samsung,4.5,40,43,Full HD,2,1,36999
panasonic,4.2,20,55,Ultra HD 4K,3,2,59999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
blaupunkt,4.2,30,40,Full HD,2,2,14499
blaupunkt,4.1,30,32,HD,3,2,14999
blaupunkt,4.1,30,43,Full HD,2,2,18499
samsung,4.4,20,32,HD,2,1,17499
panasonic,4.2,20,55,Full HD,3,2,67999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
haier,4.6,16,32,HD,3,2,14900
blaupunkt,4.1,30,49,Full HD,2,2,22999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
blaupunkt,3.8,30,55,Ultra HD 4K,3,2,29199
blaupunkt,4.1,60,49,Ultra HD 4K,3,2,28999
samsung,4.4,20,32,HD,2,1,16999
lg,4.1,20,50,Ultra HD 4K,3,2,52990
samsung,4.4,20,32,HD,2,1,17499
panasonic,4.2,20,49,Full HD,3,2,42999
thomson,4.1,24,55,Ultra HD 4K,3,2,30001
samsung,4.2,10,32,HD,1,1,17999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
lg,4.5,20,55,Ultra HD 4K,3,2,58999
samsung,4.3,20,40,Full HD,2,2,26999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
samsung,3.9,20,40,Full HD,2,2,30490
samsung,4.0,20,32,HD,2,1,20990
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
lg,4.5,20,49,Ultra HD 4K,2,1,80990
panasonic,4.2,20,55,Full HD,3,2,67999
samsung,4.4,20,32,HD,2,1,16999
blaupunkt,4.1,30,49,Full HD,2,2,22999
blaupunkt,3.8,30,55,Ultra HD 4K,3,2,29199
samsung,4.4,20,32,HD,2,1,17499
blaupunkt,4.1,60,49,Ultra HD 4K,3,2,28999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
panasonic,4.3,20,49,Ultra HD 4K,3,3,69999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
samsung,3.8,10,32,HD,2,1,25900
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
philips,3.8,20,43,Ultra HD 4K,3,3,58500
philips,4.2,20,50,Ultra HD 4K,2,1,31999
samsung,4.4,20,32,HD,2,1,16999
sansui,4.3,20,55,Ultra HD 4K,4,2,34999
samsung,4.4,20,32,HD,2,1,17499
iffalcon,4.4,20,55,Ultra HD 4K,3,2,43699
samsung,4.3,20,40,Full HD,2,1,21226
samsung,4.2,40,49,Full HD,2,1,37999
panasonic,4.2,20,32,HD,2,2,24000
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
samsung,4.7,20,55,Ultra HD 4K,3,2,49150
lg,4.5,20,43,Ultra HD 4K,2,1,49999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
tcl,4.3,20,55,Ultra HD 4K,2,1,34500
samsung,4.3,20,43,Ultra HD 4K,3,2,47999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
samsung,4.6,20,43,Ultra HD 4K,3,2,50199
lg,4.3,20,55,Ultra HD 4K,4,3,68990
samsung,4.5,10,32,HD,2,1,31500
samsung,4.4,20,32,HD,2,1,16999
samsung,4.5,20,43,Ultra HD 4K,4,2,56639
iffalcon,4.4,20,55,Ultra HD 4K,3,2,38999
sony,4.5,20,32,Full HD,2,2,28499
samsung,4.4,20,43,Ultra HD 4K,3,2,43940
samsung,4.4,20,32,HD,2,1,17499
sony,4.5,40,49,Ultra HD 4K,4,3,49999
lg,4.4,20,43,Full HD,2,1,35000
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
lg,4.4,20,32,HD,1,1,19999
tcl,4.2,20,40,Full HD,2,1,18690
panasonic,4.2,16,40,Full HD,3,2,24824
samsung,4.4,20,50,Ultra HD 4K,2,1,40999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
lg,4.2,20,49,Ultra HD 4K,3,2,49923
samsung,4.4,20,43,Ultra HD 4K,3,2,36696
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
samsung,4.6,40,49,Full HD,2,1,42999
haier,4.1,30,50,Ultra HD 4K,4,2,39990
mi,4.4,20,55,Ultra HD 4K,3,2,45599
samsung,4.4,20,32,HD,2,1,17499
sony,4.4,50,55,Ultra HD 4K,4,3,144999
samsung,3.9,20,55,Full HD,3,2,118900
micromax,4.3,24,32,HD,2,2,9299
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
vu,4.4,30,65,Ultra HD 4K,3,2,58704
lg,5.0,20,65,Ultra HD 4K,4,3,102890
panasonic,4.2,16,32,HD,2,1,15499
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
philips,4.1,20,32,HD,2,2,13999
lg,4.4,20,43,Ultra HD 4K,3,2,37990
sansui,4.2,20,32,HD,2,2,11199
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
sony,4.6,10,43,Full HD,2,2,34999
lg,5.0,20,43,Ultra HD 4K,4,2,42880
sony,4.4,20,43,Ultra HD 4K,4,3,57690
samsung,4.6,20,49,Ultra HD 4K,3,2,48355
samsung,4.4,20,32,HD,2,1,16999
sony,4.4,30,32,HD,2,2,23999
lg,4.4,10,32,HD,2,1,14999
samsung,4.4,20,32,HD,2,1,17499
sansui,4.1,20,32,HD,2,1,9999
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
iffalcon,4.4,20,50,Ultra HD 4K,3,2,37699
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
sansui,4.0,20,43,Ultra HD 4K,3,2,30999
panasonic,4.1,20,43,Ultra HD 4K,3,2,30001
lg,4.3,20,32,HD,2,1,13999
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
sansui,4.1,20,43,Ultra HD 4K,3,2,21999
samsung,4.4,20,32,HD,2,1,16999
sony,4.3,10,32,HD,2,1,21990
vu,4.4,24,55,Ultra HD 4K,3,2,36999
vu,4.4,20,40,Full HD,3,1,16999
samsung,4.4,20,32,HD,2,1,17499
samsung,4.1,10,32,Full HD,2,1,21990
sony,4.4,20,55,Ultra HD 4K,4,3,79090
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
sony,4.4,20,49,Ultra HD 4K,4,3,66529
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
kodak,4.3,20,32,HD,2,2,9999
haier,4.1,20,55,Ultra HD 4K,4,1,39499
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
vu,4.4,24,55,Ultra HD 4K,3,2,33999
samsung,4.4,20,32,HD,2,1,16999
samsung,4.4,20,32,HD,2,1,17499
sansui,4.0,20,32,HD,2,1,9499
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
hisense,5.0,30,65,Ultra HD 4K,4,2,87999
samsung,3.7,20,46,Full HD,0,3,121000
samsung,3.7,20,46,Full HD,2,1,87500
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
samsung,4.4,20,46,Full HD,0,3,111500
micromax,4.3,20,32,HD,2,2,10499
samsung,4.4,20,32,HD,2,1,16999
lg,4.3,10,24,HD,1,1,12199
samsung,4.4,20,32,HD,2,1,17499
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
samsung,4.5,20,46,Full HD,0,3,139990
samsung,4.5,20,50,Ultra HD 4K,3,2,47999
panasonic,4.3,20,50,Full HD,4,3,119900
samsung,4.5,40,65,Ultra HD 4K,4,2,124999
panasonic,3.8,20,50,Full HD,1,1,80900
samsung,4.4,20,32,HD,2,1,17499
samsung,4.4,20,65,Ultra HD 4K,4,2,99999
