Brand,Ratings,Speaker,Size,HD,HDMI,USB,Cost
LG,4.3,20,32,HD,3,2,17999
realme,4.3,24,55,Ultra HD 4K,3,2,40999
OnePlus,4.5,50,55,Ultra HD 4K,4,2,62899
SAMSUNG,4.5,40,55,Ultra HD 4K,4,2,76999
Coocaa,4.3,20,55,Ultra HD 4K,3,2,32999
Hisense,4.4,24,43,Ultra HD 4K,3,2,29999
Vu,4.6,0,55,Ultra HD 4K,3,2,49999
Thomson,4.5,30,50,Ultra HD 4K,3,2,33499
LG,4.8,20,49,Ultra HD 4K,4,2,64999
SAMSUNG,4.4,20,32,HD,2,1,17499
TOSHIBA,4.3,30,55,Ultra HD 4K,3,2,41499
Hisense,4.4,30,55,Ultra HD 4K,3,2,40499
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
SONY,4.4,20,32,HD,2,1,17999
PHILIPS,4,12,43,Full HD,2,1,20999
Thomson,4.5,40,43,Full HD,3,2,22499
Vu,4.6,0,65,Ultra HD 4K,3,2,69999
SONY,4.3,20,24,HD,2,1,11999
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
Iffalcon,4.4,30,55,Ultra HD 4K,2,1,49999
Nokia,4.3,48,65,Ultra HD 4K,3,2,57999
PHILIPS,4.2,20,58,Ultra HD 4K,3,2,42999
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
Thomson,4.4,24,32,HD,3,2,13999
MarQ,4.3,20,43,Ultra HD 4K,4,3,22999
LG,4.4,20,65,Ultra HD 4K,3,2,80999
KODAK,4.5,30,50,Ultra HD 4K,3,2,32999
Micromax,4.1,20,32,HD,3,2,14499
SAMSUNG,4.4,20,32,HD,2,1,16999
TCL,4,30,55,Ultra HD 4K,3,2,42999
Micromax,4.3,20,43,Ultra HD 4K,3,2,25499
OnePlus,4.3,30,55,Ultra HD 4K,3,2,52999
SAMSUNG,4.4,20,32,HD,2,1,17499
LG,4.6,40,55,Ultra HD 4K,3,2,134999
KODAK,4.4,24,43,Ultra HD 4K,3,2,23999
PHILIPS,4.2,20,50,Ultra HD 4K,3,2,36999
LG,4.4,20,43,Ultra HD 4K,3,2,39999
TCL,4.3,10,32,HD,2,2,16659
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
LG,4.4,0,43,Ultra HD 4K,3,2,37959
LG,4.5,0,32,HD,2,2,20599
iFFALCON,4.2,16,32,HD,2,1,11999
SAMSUNG,4.5,20,50,Ultra HD 4K,3,2,47999
MOTOROLA,4.3,20,43,Full HD,2,2,25999
TCL,4,30,50,Ultra HD 4K,3,2,38999
Vu,4.3,24,43,Ultra HD 4K,3,2,34999
Vu,4.5,30,65,Ultra HD 4K,3,2,59999
SAMSUNG,4.4,20,32,HD,2,1,16999
SAMSUNG,4.5,20,65,Ultra HD 4K,3,2,87999
MOTOROLA,4.4,50,55,Ultra HD 4K,3,2,44999
Haier,4.4,20,40,Full HD,3,2,25990
SAMSUNG,4.5,40,55,Ultra HD 4K,4,2,76999
SONY,4.3,20,32,HD,2,2,25499
HUIDI,4,10,24,HD,1,1,8299
SAMSUNG,4.2,20,43,Ultra HD 4K,3,2,43190
KODAK,4.4,24,55,Ultra HD 4K,3,2,33999
SAMSUNG,4.4,20,32,HD,2,1,17499
LG,4.3,20,32,HD,2,1,17390
SAMSUNG,4.4,20,65,Ultra HD 4K,4,2,99999
MOTOROLA,4.3,30,50,Ultra HD 4K,3,2,32999
SAMSUNG,4.5,40,65,Ultra HD 4K,4,2,124999
Hisense,4.2,24,40,Full HD,2,2,19499
Thomson,4.5,30,65,Ultra HD 4K,3,2,54999
SONY,4.1,10,49,Full HD,4,3,52999
LG,4.4,20,43,Full HD,2,1,32500
Hisense,4.2,20,32,HD,2,2,14999
SAMSUNG,4.4,20,32,HD,2,1,16999
Sansui,4.3,20,50,Ultra HD 4K,3,2,36999
HUIDI,4,20,32,HD,2,2,10999
SONY,4.5,10,50,Full HD,2,2,42999
SAMSUNG,4.5,40,55,Ultra HD 4K,4,2,76999
SAMSUNG,4.4,20,43,Full HD,2,1,37499
KODAK,4.5,30,65,Ultra HD 4K,3,2,54999
TCL,4.4,30,55,Ultra HD 4K,3,2,56999
TCL,4.2,24,55,Ultra HD 4K,3,1,40990
SONY,4.4,10,32,HD,2,1,17999
SAMSUNG,4.4,20,32,HD,2,1,17499
Micromax,4.1,30,55,Ultra HD 4K,3,2,33999
SAMSUNG,4.5,40,49,Full HD,2,1,37999
SAMSUNG,4.6,20,32,HD,2,1,19835
